No, do not allow to delete their articles.;No, do not allow to delete their articles.
Allow Uploading of Photos;Allow Uploading of Photos
Do you want to let users upload photos to an article?;Do you want to let users upload photos to an article?
Yes, allow photo uploading to article.;Yes, allow photo uploading to article.
No, do not allow photo uploading.;No, do not allow photo uploading.
Allow Editing of Photos;Allow Editing of Photos
Do you want to let users edit photos?;Do you want to let users edit photos?
Yes, allow photo editing.;Yes, allow photo editing.
No, do not allow photo editing.;No, do not allow photo editing.
Allow Deletion of Photos;Allow Deletion of Photos
Do you want to let users delete photos?;Do you want to let users delete photos?
Yes, allow members to delete.;Yes, allow members to delete.
No, do not allow members to delete.;No, do not allow members to delete.
Mark as Featured on Creation;Mark as Featured on Creation
Would you like to mark article as Featured when created?;Would you like to mark article as Featured when created?
Yes, mark article as Featured.;Yes, mark article as Featured.
No, do not mark article as Featured.;No, do not mark article as Featured.
Mark as Sponsored on Creation;Mark as Sponsored on Creation
Yes, mark article as Sponsored.;Yes, mark article as Sponsored.
No, do not mark article as Sponsored.;No, do not mark article as Sponsored.
Maximum Allowed Articles;Maximum Allowed Articles
Enter the maximum number of allowed articles. Enter 0 for unlimited articles.;Enter the maximum number of allowed articles. Enter 0 for unlimited articles.

Article Privacy;Article Privacy
ART_PRIVACY_DESCRIPTION;"Your users can choose from any of the options checked below when they decide who can see their article. These options appear on your users' ""Add Article"" and ""Edit Article"" pages. If you do not check any options, everyone will be allowed to view articles."
Everyone;Everyone
All Registered Members;All Registered Members
Friends and Networks;Friends and Networks
Friends of Friends;Friends of Friends
Friends Only;Friends Only
Just Me;Just Me
Comment Privacy;Comment Privacy
Save Settings;Save Settings
Privacy Settings;Privacy Settings
Article Settings;Article Settings


Global Settings;Global Settings
These settings affect all members in your community.;These settings affect all members in your community.
Articles per Page;Articles per Page
How many articles will be shown per page?;How many articles will be shown per page?
Article Photos;Article Photos
How many photos be shown on article`s photo gallery section?;How many photos be shown on article`s photo gallery section?
Settings;Settings

Public Permissions;Public Permissions
Yes, the public can view articles unless they are made private.;Yes, the public can view articles unless they are made private.
No, the public cannot view articles.;No, the public cannot view articles.
Permissions;Permissions

Sorting Options;Sorting Options
User preference;User preference
Featured articles, then user preference;Featured articles, then user preference
Featured articles, Sponsored articles, then user preference;Featured articles, Sponsored articles, then user preference
Sponsored articles, then user preference;Sponsored articles, then user preference
Sponsored articles, Featured articles, then user preference;Sponsored articles, Featured articles, then user preference
Sorting;Sorting

Add New Article;Add New Article
Article Title;Article Title
Main Photo;Main Photo
Body;Body
Show this article in search results;Show this article in search results
Tags;Tags
Separate tags with commas;Separate tags with commas
Privacy;Privacy
Who may see this article?;Who may see this article?
Who may post comments on this article?;Who may post comments on this article?
Featured article;Featured article
Sponsored article;Sponsored article
Add Article;Add Article
Save As Draft;Save As Draft

Add New Photos;Add New Photos
Choose photos on your computer to add to this article.;Choose photos on your computer to add to this article.
Save Photo;Save Photo
Delete Article;Delete Article
Are you sure you want to delete this article?;Are you sure you want to delete this article?

Edit Article;Edit Article

Browse By;Browse By
Most Recent;Most Recent
Last Updated;Last Updated

Delete Article Photo;Delete Article Photo
Are you sure you want to delete this photo?;Are you sure you want to delete this photo?

Edit Article Photo;Edit Article Photo

Show on the Search Options?;Show on the Search Options?
Hide on the Search Options;Hide on the Search Options
Show on the Search Options;Show on the Search Options
Show on Article Page?;Show on Article Page?
Hide on Article Page;Hide on Article Page
Show on Article Page;Show on Article Page

Add Article Question;Add Article Question
Edit Article Question;Edit Article Question

ITEM_TYPE_ARTARTICLE;Articles
ITEM_TYPE_ADVANCEDARTICLES_ALBUM;Article Albums
ITEM_TYPE_ADVANCEDARTICLES_CATEGORY;Article Categories
ITEM_TYPE_ADVANCEDARTICLES_PHOTO;Article Photos

If you want to contribute to the further development of free products then you can donate for this purpose any sum of money:;If you want to contribute to the further development of free products then you can donate for this purpose any sum of money:

List of Categories;List of Categories
View Articles;View Articles
Global Settings;Global Settings
Article Questions;Article Questions

Articles Home;Articles Home
Browse Articles;Browse Articles
My Articles;My Articles
Add New Article;Add New Article

view article;view article
ADVANCED_ARTICLES_DRAGDROP;Drag & Dop feature is available after adding the category, so you can move a category to each other and make two-level catalog

Categories;Categories
Display articles categories;Display articles categories

Bread Crumbs;Bread Crumbs
It allows users to keep track of their locations;It allows users to keep track of their locations

Actions;Actions
Main menu navigation (Browse Articles Home | Browse Articles | My Articles | Add New Article);Main menu navigation (Browse Articles Home | Browse Articles | My Articles | Add New Article)

View Article;View Article
Display articles title, body, info, comments etc...;Display articles title, body, info, comments etc...

List Articles;List Articles
Displays a list of posted articles with different filtering options;Displays a list of posted articles with different filtering options

Owner Info;Owner Info
Display owner info (photo, total submitted articles and actions);Display owner info (photo, total submitted articles and actions)

Articles Archive;Articles Archive
Display articles archive;Display articles archive

Filter Form;Filter Form
Display form to search for articles;Display form to search for articles

Recent Articles;Recent Articles
Displays a list of recently articles;Displays a list of recently articles

Popular Tags;Popular Tags
Display popular tag cloud;Display popular tag cloud

Most Commented;Most Commented
Displays a list of most commented articles;Displays a list of most commented articles

Most Viewed;Most Viewed
Displays a list of most viewed articles;Displays a list of most viewed articles

Most Liked;Most Liked
Displays a list of most liked articles;Displays a list of most liked articles

Random;Random
Displays a list of random articles;Displays a list of random articles

Featured Articles;Featured Articles
Display featured articles in slideshow format;Display featured articles in slideshow format

Sponsored Articles;Sponsored Articles
Display sponsored articles in slideshow format;Display sponsored articles in slideshow format

Profile Articles;Profile Articles
Displays a members articles on their profile;Displays a members articles on their profile

Related Articles;Related Articles
Display related articles by tags;Display related articles by tags

Top Posters;Top Posters
Displays list of top articles submitters;Displays list of top articles submitters

by;by

"ADMIN_ACTIVITY_TYPE_ARTARTICLE";"When a user (subject) posts a new article entry (object)."
"ADMIN_ACTIVITY_TYPE_COMMENT_ARTARTICLE";"When a user (subject) comments on another user's (object) article entries."

"_ACTIVITY_ACTIONTYPE_ARTARTICLE";"New article entries"
"_ACTIVITY_ACTIONTYPE_COMMENT_ARTARTICLE";"Comments on your article"

# action types
"{item:$subject} has added a new article:";"{item:$subject} has added a new article:"
"{item:$subject} commented on {item:$owner}'s {item:$object:article}: {body:$body}";"{item:$subject} commented on {item:$owner}'s {item:$object:article}: {body:$body}"

Recent Article; Recent Article

Subdirectory Link;Subdirectory Link
http://you-site/subdirectory-link, (e.g. http://you-site/articles);http://you-site/subdirectory-link, (e.g. http://you-site/articles)

